match,round,player_choice,computer_choice,id,treatment,perfect_quiz
58,2,B,B,1296,9,0
28,3,B,B,752,21,0
26,1,A,B,1304,20,1
29,1,A,A,888,23,0
29,1,A,A,151,23,1
28,2,B,B,384,20,0
28,2,A,B,1164,20,1
30,1,A,B,1413,21,0
60,2,A,A,153,7,0
29,1,A,B,164,15,1
28,1,A,B,888,23,0
28,3,A,A,803,23,1
30,3,B,B,102,19,0
59,2,B,B,163,7,1
59,1,B,A,163,7,1
60,1,B,B,1296,9,0
58,2,B,B,770,9,1
28,2,B,B,197,23,1
57,1,B,B,1133,9,1
26,1,A,A,1029,21,1
30,1,B,A,824,21,1
60,2,B,B,1556,7,1
27,1,B,A,1516,15,1
26,1,A,A,708,23,1
26,1,A,A,1214,19,0
28,2,A,A,1195,23,1
29,1,A,A,983,24,1
30,1,A,A,165,24,1
26,1,B,A,227,21,1
59,2,A,B,770,9,1
26,2,B,B,830,15,1
58,1,B,B,1311,9,1
59,2,A,A,1434,7,1
30,3,B,B,696,21,1
59,2,B,A,1518,7,0
27,1,A,B,721,23,1
28,2,A,A,571,23,1
59,2,B,B,1336,9,1
26,1,A,A,1159,19,0
29,1,A,A,990,19,1
27,1,B,B,167,15,0
57,1,A,A,933,7,1
26,1,A,A,280,19,1
57,1,B,B,1526,9,1
56,2,B,B,1,9,1
30,2,B,B,167,15,0
57,2,B,B,647,7,0
30,1,B,A,544,21,1
26,2,B,B,712,21,1
27,1,A,B,358,23,1
26,1,A,A,255,19,0
58,1,B,A,356,7,1
30,3,B,B,955,19,1
60,2,B,A,479,9,1
27,1,B,B,1491,21,1
28,3,A,B,792,20,1
26,1,B,A,1039,15,0
28,1,B,B,378,24,0
57,2,B,B,1392,9,1
28,3,B,B,1516,15,1
30,3,B,B,572,23,0
28,1,A,A,1565,23,1
30,1,B,A,1325,15,1
57,1,B,B,134,9,0
58,2,B,B,677,9,0
27,1,B,A,178,19,1
26,2,B,B,1297,15,1
27,1,B,A,1588,24,1
26,1,B,A,169,19,1
56,2,B,B,1201,9,1
58,2,A,A,276,7,0
26,2,B,B,604,23,0
29,1,A,A,497,23,0
30,3,A,B,12,19,0
29,1,A,B,183,20,1
26,2,A,A,8,19,0
59,1,A,A,511,7,1
26,1,B,B,170,20,0
29,1,B,A,140,15,1
26,2,B,B,170,20,0
26,2,A,B,521,19,0
29,1,A,A,956,23,1
28,1,B,B,393,15,1
29,1,B,B,1546,21,1
26,2,B,B,458,20,0
28,1,A,A,1278,23,0
58,2,B,A,216,7,1
28,2,B,B,171,20,1
30,3,B,B,821,15,0
60,2,B,B,250,7,1
30,2,B,B,1163,24,0
59,1,B,B,1146,9,1
59,1,A,A,1283,7,0
59,2,A,A,1346,7,1
26,2,A,A,1390,19,1
30,3,A,A,1242,24,1
56,1,A,B,1590,9,1
29,1,A,A,341,19,1
26,1,A,A,837,19,1
28,2,B,B,462,21,1
26,1,A,A,796,21,1
27,1,B,A,1596,24,1
30,3,B,A,676,20,1
28,1,A,A,365,19,1
29,1,B,A,172,21,1
26,2,B,B,1141,19,1
59,2,B,B,852,9,1
27,1,B,A,1538,23,1
30,3,B,A,72,19,1
26,1,B,A,172,21,1
26,2,A,B,450,24,0
28,2,A,A,1321,19,0
57,2,B,B,1066,9,1
29,1,B,B,565,20,1
28,3,A,B,1062,15,1
28,1,B,B,1299,21,1
26,1,B,A,888,23,0
30,1,A,A,401,19,1
28,2,B,B,1387,20,0
27,1,B,A,1592,24,0
30,3,A,B,1257,21,0
26,2,B,B,565,20,1
30,2,A,B,846,20,0
28,1,A,B,1382,24,1
30,2,B,B,601,23,0
60,1,A,A,1292,7,1
30,3,A,A,1439,23,0
28,3,B,B,1507,19,1
30,3,A,A,1298,23,1
28,3,B,B,621,20,1
30,2,B,B,632,21,0
30,2,B,B,162,21,0
30,1,B,A,1538,23,1
30,2,A,A,157,19,1
26,1,A,A,81,23,1
30,1,A,B,934,21,1
28,3,A,B,308,24,1
28,3,B,B,880,15,0
28,2,B,B,1298,23,1
26,2,B,B,1459,21,1
27,1,B,B,1541,15,1
57,1,A,A,1594,7,0
30,1,B,A,1433,19,1
57,2,A,B,304,7,1
28,3,B,B,138,23,0
30,3,B,B,979,19,1
60,2,B,B,1127,9,1
29,1,B,A,613,19,0
57,2,B,A,241,9,1
28,1,A,B,1298,23,1
26,2,B,A,1600,20,1
26,2,B,A,845,23,1
27,1,B,B,228,20,1
26,2,B,A,1586,23,1
26,2,A,B,628,21,1
58,1,B,A,618,7,1
57,1,A,B,1030,9,1
57,2,B,B,175,7,1
28,1,B,A,1065,21,0
60,2,A,B,175,7,1
60,1,B,A,175,7,1
29,1,A,A,702,19,0
28,2,B,A,719,20,1
28,1,B,A,328,23,1
59,1,A,B,826,9,1
29,1,A,A,442,21,1
28,1,B,B,184,15,0
56,2,A,B,958,9,1
30,3,B,B,1484,24,1
28,1,B,A,421,19,1
30,2,B,B,345,15,1
30,1,A,A,603,21,1
26,2,A,A,1202,21,1
28,1,B,A,314,21,0
29,1,B,A,1494,24,0
29,1,B,B,1520,15,0
59,2,B,A,1028,7,0
28,1,B,A,1547,23,0
28,2,A,B,515,15,1
57,1,B,B,1404,9,1
57,2,B,B,22,9,1
29,1,B,A,446,19,0
30,1,A,A,1472,15,1
30,2,A,A,1366,20,1
30,1,A,A,970,19,1
29,1,B,A,1343,19,1
30,1,B,A,1589,23,1
30,1,A,B,1182,24,1
28,1,B,B,264,20,1
29,1,A,A,261,19,1
28,1,A,B,1454,21,1
30,1,B,B,75,20,1
29,1,A,A,323,23,1
30,2,B,B,108,15,0
26,2,A,B,355,19,0
29,1,B,B,636,15,0
28,1,B,A,1185,15,1
56,2,B,B,1006,7,1
29,1,B,B,1541,15,1
56,2,B,B,1174,9,1
29,1,A,A,868,24,0
30,1,B,A,1060,24,1
28,3,B,B,1369,19,0
