"temp","history","you","other","person","groupnumber","round","stage","treatment","source","id","coop","ocoop","pay","delta","suggestion","first_stage","first_round","rd","sgpe","game_type","dec_round"
1,"History",1,1,1,9,1,1,"3","230321_1349",1,1,1,"normal","high","GT",1,1,0,1,1,1
1,"History",1,2,1,5,2,1,"3","230321_1349",1,1,0,"normal","high","GT",1,0,0,1,1,1
1,"History",2,2,1,5,2,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,1,5,2,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,5,2,4,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,3,3,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,1
1,"History",2,2,1,3,3,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,3,3,3,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,1,3,3,4,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,1,3,3,5,"3","230321_1349",1,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,3,3,6,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,1,3,3,7,"3","230321_1349",1,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,1,3,3,8,"3","230321_1349",1,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,3,3,9,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,8,4,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,1
1,"History",2,1,1,8,4,2,"3","230321_1349",1,0,1,"normal","high","GT",0,0,0,1,1,1
1,"History",2,2,1,8,4,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,2,1,8,4,4,"3","230321_1349",1,1,0,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,8,4,5,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,1,"3","230321_1349",1,1,1,"normal","high","GT",1,0,0,1,1,1
1,"History",1,1,1,9,5,2,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,3,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,4,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,5,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,6,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,7,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,8,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,9,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,10,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",1,1,1,9,5,11,"3","230321_1349",1,1,1,"normal","high","GT",0,0,0,1,1,1
1,"History",2,1,1,8,6,1,"3","230321_1349",1,0,1,"normal","high","GT",1,0,0,1,1,2
1,"History",2,2,1,8,6,2,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",2,2,1,8,6,3,"3","230321_1349",1,0,0,"normal","high","GT",0,0,0,1,1,2
1,"History",1,1,1,1,7,1,"3","230321_1349",1,1,1,"normal","high","GT",1,0,0,1,1,2
1,"History",1,2,1,4,8,1,"3","230321_1349",1,1,0,"normal","high","GT",1,0,0,1,1,2
